agency_id,parser_id,docs_fetched,doc_count,docs_inserted,date_range_min,date_range_max,error
hayward-police-department,nixle,0,0,0,,,
suisun-city-police-department,citizenrims,0,0,0,,,
alameda-county-district-attorney,socrata,0,0,0,,,
citrus-heights-police-department,civicplus,0,0,0,,,
hillsborough-police-department,citizenrims,0,0,0,,,
modesto-police-department,civicplus,13,0,0,2020-12-04T00:00:00,2026-02-19T00:00:00,
ventura-police-department,arcgis,0,0,0,,,
san-bernardino-police-department,civicplus,0,0,0,,,
del-norte-county-sheriffs-department,citizenrims,0,0,0,,,
los-alamitos-police-department,civicplus,12,0,0,2016-11-22T00:00:00,2026-01-20T00:00:00,
susanville-police-department,citizenrims,0,0,0,,,
mono-county-sheriffs-department,citizenrims,0,0,0,,,
san-bruno-police-department,citizenrims,0,0,0,,,
hollister-police-department,nixle,1,0,0,,,
wasco-police-department,citizenrims,0,0,0,,,
east-bay-regional-parks-district-department-of-public-safety,nixle,1,0,0,,,
pismo-beach-police-department,citizenrims,0,0,0,,,
los-altos-police-department,civicplus,6,0,0,2023-05-08T00:00:00,2026-01-14T00:00:00,
ventura-county-sheriffs-department,nixle,3,0,0,,,
alhambra-police-department,civicplus,0,0,0,,,
humboldt-county-sheriffs-office,citizenrims,0,0,0,,,
alpine-county-district-attorney,civicplus,3,0,0,2026-01-15T00:00:00,2026-02-19T00:00:00,
humboldt-county-district-attorney,civicplus,100,0,0,2017-05-05T00:00:00,2026-02-09T00:00:00,
long-beach-police-department,rave,0,0,0,,,
clayton-police-department,nixle,6,0,0,,,
brea-police-department,civicplus,11,0,0,2022-03-15T00:00:00,2026-02-17T00:00:00,
watsonville-police-department,civicplus,17,0,0,2021-10-28T00:00:00,2026-02-20T00:00:00,
placentia-police-department,civicplus,3,0,0,2026-01-27T00:00:00,2026-02-05T00:00:00,
taft-police-department,citizenrims,0,0,0,,,
san-diego-county-sheriffs-department,nixle,0,0,0,,,
