agency_id,canonical_name,detected_platform,detection_source
orange-county-sheriffs-departmentcoroner,Orange County Sheriff's Department/Coroner,crimemapping,homepage_url:html=CrimeMapping
orange-cove-police-department,Orange Cove Police Department,unknown,
orange-police-department,Orange Police Department,unknown,
orinda-police-department,Orinda Police Department,civicplus,homepage_url:html=civicplus
orland-police-department,Orland Police Department,unknown,
oxnard-police-department,Oxnard Police Department,unknown,
pacific-grove-police-department,Pacific Grove Police Department,arcgis,homepage_url:html=arcgis
pacific-union-college-department-of-public-safety,Pacific Union College Department of Public Safety,unknown,
palm-springs-police-department,Palm Springs Police Department,unknown,
palo-alto-police-department,Palo Alto Police Department,nixle,homepage_url:html=nixle
palomar-community-college-district-police-department,Palomar Community College District Police Department,unknown,
palos-verdes-estates-police-department,Palos Verdes Estates Police Department,unknown,
paradise-police-department,Paradise Police Department,unknown,
parlier-police-department,Parlier Police Department,unknown,
pasadena-city-college-district-police-department,Pasadena City College District Police Department,unknown,
pasadena-police-department,Pasadena Police Department,nixle,homepage_url:html=nixle
paso-robles-police-department,Paso Robles Police Department,civicplus,homepage_url:html=civicplus
pepperdine-university-office-of-public-safety,Pepperdine University Office of Public Safety,unknown,
petaluma-police-department,Petaluma Police Department,unknown,
piedmont-police-department,Piedmont Police Department,unknown,
pittsburg-police-department,Pittsburg Police Department,unknown,
placentia-police-department,Placentia Police Department,civicplus,homepage_url:html=civicplus
placentia-public-safety-communications,Placentia Public Safety Communications,unknown,
placer-county-district-attorney,Placer County District Attorney,civicplus,homepage_url:html=civicplus
placer-county-probation-department,Placer County Probation Department,unknown,
placer-county-sheriffs-department,Placer County Sheriff's Department,civicplus,homepage_url:html=civicplus
plumas-county-district-attorney,Plumas County District Attorney,civicplus,homepage_url:html=civicplus
plumas-county-sheriffs-department,Plumas County Sheriff's Department,civicplus,homepage_url:html=civicplus
pomona-police-department,Pomona Police Department,unknown,
pomona-unified-school-district-security-department,Pomona Unified School District Security Department,unknown,
porterville-police-department,Porterville Police Department,unknown,
port-hueneme-police-department,Port Hueneme Police Department,civicplus,homepage_url:html=civicplus
port-san-luis-harbor-district-harbor-patrol-department,Port San Luis Harbor District Harbor Patrol Department,unknown,
presidio-of-monterey-police-department,Presidio of Monterey Police Department,unknown,
redding-police-department,Redding Police Department,unknown,
redlands-police-department,Redlands Police Department,unknown,
redondo-beach-police-department,Redondo Beach Police Department,arcgis,homepage_url:html=arcgis
redwood-city-police-department,Redwood City Police Department,unknown,
reedley-police-department,Reedley Police Department,unknown,
rialto-police-department,Rialto Police Department,crimemapping,homepage_url:html=crimemapping
richmond-police-department,Richmond Police Department,civicplus,homepage_url:html=civicplus
ridgecrest-police-department,Ridgecrest Police Department,civicplus,homepage_url:html=civicplus
rio-dell-police-department,Rio Dell Police Department,civicplus,homepage_url:html=civicplus
rio-hondo-college-pd,Rio Hondo College PD,unknown,
riverside-community-college-district-police-department,Riverside Community College District Police Department,unknown,
riverside-county-department-of-public-social-services,Riverside County Department of Public Social Services,unknown,
riverside-county-district-attorney,Riverside County District Attorney,unknown,
riverside-county-sheriffs-office,Riverside County Sheriff's Office,civicplus,homepage_url:html=civicplus
riverside-police-department,Riverside Police Department,arcgis,feed_url:html=arcgis
rohnert-park-department-of-public-safety,Rohnert Park Department of Public Safety,civicplus,homepage_url:html=civicplus
roseville-police-department,Roseville Police Department,arcgis,homepage_url:html=arcgis
